 # notch   n/ntot
  60.500  0.000000
  61.500  0.000000
  62.500  0.000000
  63.500  0.000000
  64.500  0.000000
  65.500  0.000000
  66.500  0.000000
  67.500  0.000000
  68.500  0.000000
  69.500  0.000000
  70.500  0.000000
  71.500  0.000000
  72.500  0.000000
  73.500  0.000000
  74.500  0.000000
  75.500  0.000000
  76.500  0.000000
  77.500  0.000000
  78.500  0.000000
  79.500  0.000000
  80.500  0.000000
  81.500  0.000000
  82.500  0.000000
  83.500  0.000000
  84.500  0.000000
  85.500  0.000000
  86.500  0.000000
  87.500  0.000000
  88.500  0.000000
  89.500  0.000000
  90.500  0.000000
  91.500  0.000000
  92.500  0.000000
  93.500  0.000000
  94.500  0.000000
  95.500  0.000000
  96.500  0.000000
  97.500  0.000000
  98.500  0.000000
  99.500  0.000000
 # notch   n/ntot
   0.500  0.000000
   1.500  0.000000
   2.500  0.000000
   3.500  0.000000
   4.500  0.000000
   5.500  0.000000
   6.500  0.000000
   7.500  0.000000
   8.500  0.000000
   9.500  0.000000
  10.500  0.000000
  11.500  0.000000
  12.500  0.000000
  13.500  0.000000
  14.500  0.000000
  15.500  0.000000
  16.500  0.000000
  17.500  0.000000
  18.500  0.000000
  19.500  0.000000
  20.500  0.000000
  21.500  0.000000
  22.500  0.000000
  23.500  0.000000
  24.500  0.000000
  25.500  0.000000
  26.500  0.000000
  27.500  0.000000
  28.500  0.000000
  29.500  0.000000
  30.500  0.000000
  31.500  0.000000
  32.500  0.000000
  33.500  0.000000
  34.500  0.000000
  35.500  0.000000
  36.500  0.000000
  37.500  0.000000
  38.500  0.000000
  39.500  0.000000
  40.500  0.000000
  41.500  0.000000
  42.500  0.000000
  43.500  0.000000
  44.500  0.000000
  45.500  0.000000
  46.500  0.000000
  47.500  0.000000
  48.500  0.000000
  49.500  0.000000
  50.500  0.333333
  51.500  0.000000
  52.500  0.000000
  53.500  0.000000
  54.500  0.000000
  55.500  0.000000
  56.500  0.000000
  57.500  0.000000
  58.500  0.000000
  59.500  0.000000
  60.500  0.000000
  61.500  0.000000
  62.500  0.000000
  63.500  0.000000
  64.500  0.000000
  65.500  0.000000
  66.500  0.000000
  67.500  0.000000
  68.500  0.000000
  69.500  0.000000
  70.500  0.000000
  71.500  0.000000
  72.500  0.000000
  73.500  0.000000
  74.500  0.000000
  75.500  0.000000
  76.500  0.000000
  77.500  0.000000
  78.500  0.000000
  79.500  0.000000
  80.500  0.000000
  81.500  0.000000
  82.500  0.000000
  83.500  0.000000
  84.500  0.000000
  85.500  0.000000
  86.500  0.000000
  87.500  0.000000
  88.500  0.000000
  89.500  0.000000
  90.500  0.000000
  91.500  0.000000
  92.500  0.000000
  93.500  0.000000
  94.500  0.000000
  95.500  0.000000
  96.500  0.000000
  97.500  0.000000
  98.500  0.000000
  99.500  0.000000
